,title,rating,pros,cons,company
0,"""Great place to work part time""",5.0,A great place to work,You are just a number here,Walt Disney
1,"""Great time""",5.0,Work life balance was great and manageable,Needs more Challenge in the tasks that are required,Walt Disney
2,"""Great Experience""",5.0,Friendly company with a great sense of community,No cons to report on,Walt Disney
3,"""Great Place to work""",4.0,Benefits are excellent and the company is very generous with perks.,sometimes the work-life balance is thrown off when you have to do more with less,Walt Disney
4,"""Postive just could use a little improvment""",4.0,You are trusted with the magic. Pay is better than most retail jobs,Late hours. Guests can be rude or demanding. Management doesn't always listen.,Walt Disney
5,"""Great Place""",4.0,"Great work environment, friendly management","Long hours, under appreciated by guests",Walt Disney
6,"""Wish I could still work there""",5.0,Fun part time job to get you though college. Decent starting pay $15 for a position that requires 0 experience and 0 education.,"Rude guests, low raises, and lazy co workers",Walt Disney
7,"""love working for the companyu""",4.0,very humble and nice staff,unfortunate that they do not offer bonuses to the lower titles,Walt Disney
8,"""Great environment to work in. Hit or miss managers""",4.0,Extremely flexible and fun. Available sick time and grievance pay. Amazing 401k matching program for even part time castmembers,Managers are a hit and miss. Some are very competent and go out of their way to make sure everyone is doing well. Some fall very behind on even walking out their office door only to come greet you with a half smile and complain about something or never respond to your concerns or requests.,Walt Disney
9,"""Hard Job""",3.0,Mostly morning shifts. Not a lot of Guest contact.,Alone all day. Long hours.,Walt Disney
10,"""Job environment""",5.0,- Motivated by working with the smart people across the company. - Good Benefits,"- Like other big companies, Networking is essential to move up. - Pay may not be as high as competitors",Walt Disney
11,"""Not as magical as you'd think""",3.0,Overall benefits and success of the company,"Salary, and no room for growth",Walt Disney
12,"""Excellent company""",5.0,"Best Health insurance, good salary, free Theme Park admission, good management and environment.","Guests can be mean and annoying, but that is something that we will find at any customer service job.",Walt Disney
13,"""One of the best work places""",4.0,"Benefits, salary, perks, experience, Teamwork","Schedule, hours worked, systems are outdated",Walt Disney
14,"""Overall Ok-ish""",3.0,Free admission Some super sweet people who love the company Training is thorough and fully prepares you,"Don’t expect to feel special, it’s a big company Hours are exhausting closing one day, opening the next. Sometimes just barely 8 hours in between shifts",Walt Disney
15,"""Kicking it off!!""",5.0,Creative arts is the best industry!,Sonetimes the hours can be long!,Walt Disney
16,"""Good Company, returning to it's old roots""",4.0,"Great people, Great benefits and great location",coming out of a period where management was missing the mark. They have made great changes though.,Walt Disney
17,"""Great benefits, but overall frustrating work.""",3.0,"-Great benefits (free park tickets, discounts, previews, healthcare) -Generally happy workplace -Lots of opportunities / work locations","-Tightening budgets makes the workload, even for customer-facing roles, increasingly frustrating. Most locations feel drastically under-staffed -Poor communication between leadership team. -Guests talk to you terribly, at points you wonder if they remember you're even a human being.",Walt Disney
18,"""LOVE MY JOB""",5.0,There is no better company to work for other than Disney,Sometimes its more about who you know and not what you know,Walt Disney
19,"""Great place to work!""",4.0,"Good benefits, free park pass, friendly people, and great content.","When I worked there, they had office cliques.",Walt Disney
20,"""The best company to work with""",3.0,The best company to work with,Low salary range. So negotaite well and keep the salary range in mind,Walt Disney
21,"""Amazing""",5.0,"Friendly environment, great connection with everyone",Nothing is really wrong at all,Walt Disney
22,"""Cast Member""",3.0,"Fun and enjoyable, fun perks",Disney look is a little out of hand,Walt Disney
23,"""Great Company to Work For""",5.0,"Flexible Hours, Great Pay, Supportive Management",It is difficult to get a job and it’s very competitive,Walt Disney
24,"""Good""",3.0,They give you a lot of hours.,The management is pretty uptight.,Walt Disney
25,"""Quick Service Food and Beverage Cashier""",2.0,Good benefits and company culture,"Overworked and underpaid, very hard to move up",Walt Disney
26,"""Okay job""",3.0,"Free park tickets for you and your family, option to take up to an hour lunch, 6 weeks of paid training, If you are a frequent visitor to the parks this is the job for you.","Very low pay, average health care plan nothing special, dress code is fairly relaxed except for the (NO TATTOOS ) Disney policy even in the call centers they must be covered up at all times. No healthy options in the cafeteria.",Walt Disney
27,"""Great Company to work for""",4.0,Diverse group of people to be around. Good hours,Management are a hit or miss.,Walt Disney
28,"""Pay""",4.0,Good pay and benefits and nice people,Long hours And no grow available,Walt Disney
29,"""Great Company, Fun People""",5.0,Flexible scheduling for part time employees. You get to meet a huge variety of people from all around the world. Looks great on a Resume because Disney is known for their values in customer service. Taught me great life skills,The pay was kind of low,Walt Disney
30,"""Childish Managers""",2.0,"Awsome benefits, and park tickets","Poor management, work during breaks",Walt Disney
31,"""Eh""",4.0,"Great opportunities, good pay, lot of new faces to meet",A company that boasts about family but fires you for putting family first,Walt Disney
32,"""Amazing Brand, Great Memories, Finance culture has room to improve""",4.0,Second to none in terms of brand recognition Solid discounts on merchandise and free access to theme parks Tangible product with a business model that's easy to grasp Some pockets / teams have a great culture Orlando has cheap cost of living and favorable weather Great name to have on your resume,"Current finance leadership is very hit or miss Parks &amp; Resorts ""strategy"" is very much finance-driven which often leads to short-sided decision making on cost cutting measures (infamously known as gap) Culture of long working hours is encouraged, expected, and often used as a measuring stick from upper management (quite amusing) Talent recruitment is pushing towards mediocrity for what the company can actually get; recruiting efforts are restricted to universities that executives attended Hiring freezes happen every 6 months so movement / growth is often stagnant Only way to get a pay increase above 3% is to wait for a new position to open up (no promotions in place), No bonus compensation and pay is middle of the road for market Company is sound financially but layoffs happen in large waves and can be very unpredictable (even in upper level roles) Outside of G&amp;A roles, your skill set becomes very niche and hard to translate outside of theme parks",Walt Disney
33,"""Security Host Job""",5.0,"Pay, Environment, Benefits, Training,","Management, Health Of Officers, Point System.",Walt Disney
34,"""Great work environment! The happiest place on earth, but some pretty boring jobs.""",4.0,Amazing company culture. Awesome people. Interesting potential projects. Interns are given actual work to do.,Tons of red tape to get anything done. Very strict appearance/grooming guidelines. Some tasks can get to be very monotonous. Tough to get promoted.,Walt Disney
35,"""Great place to work""",3.0,Great benefits for full time employees,Work/life balance is not ideal,Walt Disney
36,"""Loved working here, great culture very collaborative""",5.0,"Everyone is kind, people work hard, love free tickets to disney","people sometimes are overworked, stressed",Walt Disney
37,"""Love this Company!""",5.0,"Great benefits and learnings opportunities, fantastic collaborative and kind culture.",Teams are small for the amount of work being done,Walt Disney
38,"""Great Company""",5.0,"Fun and relaxed atmosphere, love it.",none this place is amazing since I work from home,Walt Disney
39,"""Great company and great job! I've been there for almost 25 years.""",4.0,Great wages! Great benefits and open opportunities.,"Nowadays, most hiring are seasonal or part-time.",Walt Disney
40,"""Great Culture""",4.0,Great culture and learning experience,Can feel like a small part of big machine,Walt Disney
41,"""Great Company""",5.0,"Culture, team oriented, great benefits",No significant cons at Disney.,Walt Disney
